Round 6: Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PREDICTIONS DUE: ______,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FP1,,,,,,,,FP2,,,,,,,,FP3,,,,,,,,QUALI,,,,,,,,RACE,,,,,,
Position,Result,Dad,Mom,Quincey,Wynn,Paige,Rees,Position,Result,Dad,Mom,Quincey,Wynn,Paige,Rees,Position,Result,Dad,Mom,Quincey,Wynn,Paige,Rees,Position,Result,Dad,Mom,Quincey,Wynn,Paige,Rees,Position,Result,Dad,Mom,Quincey,Wynn,Paige,Rees
1,Leclerc,Leclerc,Hamilton,Norris,Russell,Leclerc,Piastri,1,Hamilton,Antonelli,Hamilton,Norris,Antonelli,Leclerc,Leclerc,1,Antonelli,Hamilton,Hamilton,Leclerc,Leclerc,Leclerc,Leclerc,1,Antonelli,Leclerc,Hamilton,Leclerc,Russell,Leclerc,Leclerc,1,Antonelli,Leclerc,Hamilton,Leclerc,Russell,Leclerc,Hamilton
2,Hamilton,Norris,Leclerc,Hamilton,Leclerc,Hamilton,Hamilton,2,Leclerc,Russell,Leclerc,Russell,Russell,Hadjar,Verstappen,2,Leclerc,Leclerc,Leclerc,Russell,Hamilton,Hamilton,Piastri,2,Verstappen,Hamilton,Leclerc,Russell,Leclerc,Hamilton,Verstappen,2,Hamilton,Antonelli,Russell,Russell,Leclerc,Hamilton,Verstappen
3,Verstappen,Piastri,Russell,Russell,Verstappen,Verstappen,Norris,3,Verstappen,Leclerc,Russell,Antonelli,Leclerc,Russell,Hamilton,3,Hamilton,Russell,Russell,Antonelli,Norris,Russell,Hamilton,3,Hamilton,Antonelli,Russell,Hamilton,Antonelli,Russell,Hamilton,3,Gasly,Hamilton,Piastri,Hamilton,Antonelli,Antonelli,Leclerc
,SCORE,3,2,3,1,9,3,,SCORE,1,6,0,1,1,3,,SCORE,4,4,2,2,2,4,4,Leclerc,Russell,Antonelli,Antonelli,Hamilton,Verstappen,Norris,4,Hadjar,Russell,Leclerc,Antonelli,Hamilton,Verstappen,Russell
,,,,,,,,,,,,,,,,,,,,,,,,5,Hadjar,Norris,Piastri,Norris,Norris,Norris,Russell,5,Piastri,Norris,Verstappen,Norris,Verstappen,Russell,Verstappen
,,,,,,,,,,,,,,,,,,,,,,,,6,Russell,Piastri,Norris,Piastri,Verstappen,Antonelli,Antonelli,6,Lawson,Piastri,Norris,Piastri,Norris,Norris,Norris
,Other predictions:,,,,,,,Result,SCORE,,,,,,,,,,,,,,,7,Piastri,Verstappen,Verstappen,Verstappen,Piastri,Piastri,Piastri,7,Lindblad,Verstappen,Antonelli,Verstappen,Piastri,Piastri,Antonelli
Dad,1),It rains and Lindblad crashes out of a session in the wet,,,,,,FALSE,0,,,,,,,,,,,,,,,8,Norris,Hadjar,Hadjar,Hadjar,Sainz,Hadjar,Hadjar,8,Albon,Hadjar,Hadjar,Bearman,Bearman,Bearman,Piastri
